point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,七宝镇方言研究
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,TS,诉,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,TS,塑,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,TS,嗉,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,姑,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,孤,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,箍,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,辜,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,菇,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,鸪,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,蛄,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,古,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,估,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,盬,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,牯,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,股,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,鼓,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,蛊,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,故,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,固,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,锢,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,雇,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,顾,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,枯,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,苦,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,库,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,裤,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,吴,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,蜈,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,吾,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,梧,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,五,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,伍,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,午,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,忤,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,误,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,K,悟,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,模,Ø,呼,,,
